transaction_id,payer_party_id,payee_party_id,amount,currency,timestamp,is_fraud,fraud_score
1,493092,239917,4300.06,CAD,2024-10-21 08:42:46.336149,False,48.65
2,370507,723573,3549.43,GBP,2023-08-28 19:34:36.989717,False,38.35
3,239917,225284,3691.97,EUR,2023-10-09 07:17:56.832178,False,37.17
4,194184,141729,3580.95,JPY,2024-11-19 11:26:02.229045,False,2.92
5,187821,736402,9462.45,GBP,2025-04-13 09:37:51.197020,False,43.4
6,454854,894429,4736.27,GBP,2024-03-09 23:15:38.982713,False,13.28
7,498067,246201,540.2,JPY,2025-01-18 02:25:13.365916,False,29.6
8,957570,102475,6460.29,JPY,2025-02-10 01:32:57.180660,False,9.51
9,141729,255538,2809.69,EUR,2023-09-15 04:00:43.762836,False,13.37
10,943393,489801,7730.74,GBP,2024-11-28 00:25:24.706061,False,45.41
11,742673,206328,8602.94,USD,2024-06-09 03:30:21.611289,False,8.24
12,309143,545952,1760.94,GBP,2023-12-20 22:21:24.914158,False,22.99
13,464366,910932,350.8,GBP,2023-12-23 16:31:34.998608,False,15.43
14,169397,447566,4679.52,USD,2025-03-18 04:34:49.782696,True,96.22
15,721692,984678,175.4,GBP,2024-12-02 17:12:59.607244,False,0.86
16,681576,901983,2914.65,CAD,2024-05-18 09:01:13.263867,False,4.21
17,397949,440795,9255.88,GBP,2024-07-06 14:32:10.451067,False,10.26
18,809235,284063,4802.09,CAD,2023-11-22 00:14:53.534218,False,17.81
19,792623,381705,8546.75,EUR,2025-07-18 14:03:29.708588,False,16.59
20,279414,768390,6257.62,JPY,2024-08-13 14:59:49.401906,False,41.0
21,891930,958338,4942.68,EUR,2023-09-19 11:19:21.047996,False,31.31
22,478894,132874,9063.87,GBP,2024-05-23 19:44:14.695624,False,8.74
23,656919,346901,9613.84,CAD,2025-04-28 08:53:29.545515,False,19.77
24,279414,533753,5990.48,USD,2024-03-17 03:09:40.449283,False,20.96
25,753483,829002,5745.27,EUR,2025-01-12 07:17:55.088535,False,26.5
26,703047,901983,3760.74,JPY,2023-09-23 22:26:53.104479,False,1.7
27,959122,302426,2872.26,GBP,2025-02-06 21:29:58.601678,False,14.19
28,211282,957476,5069.4,CAD,2024-10-16 11:45:12.847651,False,43.02
29,855845,149433,2637.98,JPY,2024-06-23 21:43:21.308719,False,32.42
30,113126,960168,8976.2,CAD,2023-12-15 06:49:19.716187,False,25.2
31,211282,626883,3372.04,GBP,2024-07-18 15:41:04.795810,True,71.78
32,880473,294470,6949.88,USD,2025-02-27 03:24:56.653924,False,48.09
33,938521,594403,3827.83,JPY,2023-09-02 17:22:12.403531,False,16.13
34,660209,731213,4485.09,JPY,2024-01-26 06:23:22.113284,False,11.02
35,757216,991288,2430.87,CAD,2024-02-25 11:15:50.222112,False,32.55
36,597505,805775,921.82,JPY,2024-02-27 09:42:07.829730,False,23.0
37,102106,187821,5469.71,USD,2024-11-26 04:25:22.976181,False,13.44
